Date,Value
7/12/2016 11:56,1
7/14/2016 10:39,1
7/15/2016 14:07,1
7/17/2016 14:16,1
7/18/2016 9:29,1
7/26/2016 14:30,1
7/26/2016 15:08,1
7/28/2016 10:05,1
7/30/2016 11:13,1
8/1/2016 9:50,1
8/3/2016 11:20,1
8/5/2016 11:03,1
7/12/2016 11:26,1
7/12/2016 11:28,1
7/14/2016 10:41,1
7/15/2016 14:09,1
7/17/2016 14:18,1
7/18/2016 9:31,1
7/26/2016 14:31,1
7/28/2016 10:07,1
7/30/2016 11:15,1
8/1/2016 9:51,1
8/3/2016 11:21,1
8/5/2016 11:05,1
7/12/2016 15:02,1
7/12/2016 15:33,1
7/14/2016 10:06,1
7/15/2016 15:08,1
7/17/2016 13:15,1
7/18/2016 10:03,1
7/26/2016 11:41,1
7/26/2016 14:28,1
7/28/2016 10:47,1
7/30/2016 11:41,1
8/1/2016 10:24,1
8/3/2016 10:18,1
8/5/2016 10:44,1
7/12/2016 15:04,1
7/14/2016 10:05,1
7/15/2016 15:10,1
7/17/2016 13:16,1
7/18/2016 10:05,1
7/26/2016 10:42,1
7/28/2016 10:49,1
7/30/2016 11:42,1
8/1/2016 10:25,1
8/3/2016 10:19,1
8/5/2016 10:45,1
7/12/2016 15:37,1
7/12/2016 16:05,1
7/14/2016 9:17,1
7/15/2016 15:39,1
7/17/2016 9:07,1
7/18/2016 10:09,1
7/26/2016 11:03,1
7/26/2016 11:44,1
7/28/2016 13:21,1
7/30/2016 11:49,1
8/1/2016 10:23,1
8/3/2016 9:50,1
8/5/2016 10:32,1
7/12/2016 15:39,1
7/14/2016 9:15,1
7/15/2016 15:41,1
7/17/2016 9:08,1
7/18/2016 10:11,1
7/26/2016 11:04,1
7/28/2016 13:23,1
7/30/2016 11:50,1
8/1/2016 10:24,1
8/3/2016 9:51,1
8/5/2016 10:34,1
7/12/2016 10:45,1
7/12/2016 11:17,1
7/14/2016 11:18,1
7/15/2016 11:09,1
7/17/2016 14:51,1
7/18/2016 8:59,1
7/26/2016 15:34,1
7/26/2016 16:15,1
7/28/2016 9:35,1
7/30/2016 10:09,1
8/1/2016 14:13,1
8/3/2016 13:14,1
8/5/2016 11:33,1
7/12/2016 10:47,1
7/14/2016 11:17,1
7/15/2016 11:11,1
7/17/2016 14:53,1
7/18/2016 9:01,1
7/26/2016 15:35,1
7/28/2016 9:38,1
7/30/2016 10:10,1
8/1/2016 14:14,1
8/3/2016 13:15,1
8/5/2016 11:35,1
7/12/2016 16:18,1
7/12/2016 16:51,1
7/14/2016 9:58,1
7/15/2016 16:07,1
7/17/2016 9:35,1
7/18/2016 10:41,1
7/26/2016 10:28,1
7/26/2016 11:09,1
7/28/2016 13:49,1
7/30/2016 13:49,1
8/1/2016 10:53,1
8/3/2016 9:10,1
8/5/2016 9:54,1
7/12/2016 16:21,1
7/14/2016 10:00,1
7/15/2016 16:09,1
7/17/2016 9:37,1
7/18/2016 10:42,1
7/26/2016 10:29,1
7/28/2016 13:50,1
7/30/2016 13:50,1
8/1/2016 10:54,1
8/3/2016 9:11,1
8/5/2016 9:56,1
7/12/2016 9:53,1
7/12/2016 10:25,1
7/14/2016 11:16,1
7/15/2016 10:31,1
7/17/2016 15:18,1
7/18/2016 9:00,1
7/26/2016 16:11,1
7/26/2016 16:47,1
7/28/2016 9:37,1
7/30/2016 10:35,1
8/1/2016 14:40,1
8/3/2016 13:40,1
8/5/2016 11:45,1
7/12/2016 9:53,1
7/14/2016 11:18,1
7/15/2016 10:32,1
7/17/2016 15:19,1
7/18/2016 9:01,1
7/26/2016 16:12,1
7/28/2016 9:38,1
7/30/2016 10:36,1
8/1/2016 14:41,1
8/3/2016 13:41,1
8/5/2016 11:46,1
7/12/2016 17:43,1
7/12/2016 18:16,1
7/14/2016 14:20,1
7/15/2016 9:58,1
7/17/2016 10:09,1
7/18/2016 10:45,1
7/26/2016 9:43,1
7/26/2016 10:29,1
7/28/2016 14:43,1
7/30/2016 10:04,1
8/1/2016 11:00,1
8/3/2016 14:10,1
8/5/2016 9:50,1
7/12/2016 17:46,1
7/14/2016 14:23,1
7/15/2016 10:00,1
7/17/2016 10:11,1
7/18/2016 10:47,1
7/26/2016 9:44,1
7/28/2016 14:45,1
7/30/2016 10:06,1
8/1/2016 11:01,1
8/3/2016 14:11,1
8/5/2016 9:51,1
7/12/2016 17:08,1
7/12/2016 17:36,1
7/14/2016 14:48,1
7/15/2016 9:29,1
7/17/2016 10:38,1
7/18/2016 11:12,1
7/26/2016 9:14,1
7/26/2016 9:51,1
7/28/2016 15:15,1
7/30/2016 9:36,1
8/1/2016 11:29,1
8/3/2016 14:36,1
8/5/2016 9:23,1
7/12/2016 17:10,1
7/14/2016 14:50,1
7/15/2016 9:31,1
7/17/2016 10:39,1
7/18/2016 11:13,1
7/26/2016 9:15,1
7/28/2016 15:17,1
7/30/2016 9:37,1
8/1/2016 11:30,1
8/3/2016 14:37,1
8/5/2016 9:24,1
7/12/2016 18:19,1
7/14/2016 13:50,1
7/15/2016 9:02,1
7/17/2016 11:06,1
7/18/2016 11:12,1
7/26/2016 9:12,1
7/28/2016 16:07,1
7/30/2016 9:30,1
8/1/2016 11:23,1
8/3/2016 15:05,1
8/5/2016 9:21,1
7/12/2016 14:10,1
7/12/2016 14:44,1
7/14/2016 10:42,1
7/15/2016 14:37,1
7/17/2016 13:46,1
7/18/2016 9:33,1
7/26/2016 15:00,1
7/26/2016 15:37,1
7/28/2016 10:46,1
7/30/2016 11:10,1
8/1/2016 9:53,1
8/3/2016 10:50,1
8/5/2016 11:15,1
7/12/2016 14:12,1
7/14/2016 10:40,1
7/15/2016 14:39,1
7/17/2016 13:48,1
7/18/2016 9:34,1
7/26/2016 15:01,1
7/28/2016 10:47,1
7/30/2016 11:11,1
8/1/2016 9:54,1
8/3/2016 10:51,1
8/5/2016 11:16,1
