,Factors,Key,RC_Sum: 21_75,RC: 21_75,RG: 21_75,SE: 21_75,CS: 21_75,RC_Sum: 8_75,RC: 8_75,RG: 8_75,SE: 8_75,CS: 8_75
0,AirTC_Avg,0,0.008454400138803444,71.50125530863072,0.09203036390244959,1.0864763033388858,0.9946612019604272,0.0,0.0,0.0,0.0,1.0
1,VPD,1,0.058227583659715657,492.4471585097254,0.9434421330690383,2.435510398701391,0.619398985103409,0.08018746166712332,934.4887138430241,1.3276719590028128,2.8859596914965495,0.7179680027185945
2,u*,2,0.024640481788596274,208.39152989787874,0.32185886204242703,1.911457961974617,0.8442069691914436,0.0,0.0,0.0,0.0,1.0
3,wind_speed,3,0.03427995009932707,289.9152422144531,0.3183608291981121,1.8297772684896216,0.7357575159608595,0.006656717423835071,77.57605957948071,0.35016977914298575,1.074978528214618,1.0
4,air_pressure,4,0.016697727571133667,141.21740898657836,0.4926161922514439,1.4987951425081278,0.9033484965055942,0.0,0.0,0.0,0.0,1.0
5,NR_Wm2_Avg,5,0.023234319409713374,196.49921659271175,0.20531033097455897,1.722496268955865,0.8674412886011569,0.0,0.0,0.0,0.0,1.0
6,PPFD_Avg,6,0.500018049122269,4228.794190272949,1.6488454019029937,5.2428557638679125,0.500018049122269,0.6377805410514712,7432.567450450369,2.4884675023456415,5.714717749442701,0.6377805410514712
7,Table_1,7,0.012640011046968032,106.90015165299309,0.2275831140577793,1.3323686621157327,0.9649058680070477,0.0,0.0,0.0,0.0,1.0
8,VWC_2,8,0.011829786553345214,100.04785374602055,0.23406467844421663,1.5453814386851223,0.9767356545603929,0.0,0.0,0.0,0.0,1.0
9,VWC_1,9,0.02493592778058072,210.89020028915044,0.5930747645596663,1.9025490627873298,0.8195664874028473,0.0,0.0,0.0,0.0,1.0
10,Active_Layer_1,10,0.04112009004445779,347.76424208835476,0.9026835706084966,2.485503005843613,0.6605190751478668,0.06660287454800902,776.1766400960333,1.353562266131242,2.668080612250637,0.8524785668357524
11,Temp_2_5_1,11,0.01610300777455781,136.18769530921205,0.07155025666579602,1.5692671478363942,0.9522658569600797,0.0,0.0,0.0,0.0,1.0
12,Temp_5_1,12,0.040958490713665634,346.3975508010993,0.44747544011722007,2.220427350051874,0.7014775658615324,0.06790768956914886,791.3826945783384,0.8809950549465915,2.613117576000112,0.7858756922877433
13,Temp_15_1,13,0.016224154384546625,137.21226648497512,0.35291297050813836,1.4719379922606965,0.9361628491855218,0.0,0.0,0.0,0.0,1.0
14,Temp_2_5_2,14,0.009471147261230814,80.10017355137244,0.2161876761664947,1.4532964516995646,0.9862068018216237,0.0,0.0,0.0,0.0,1.0
15,Temp_5_2,15,0.026871517040852593,227.2600266043419,0.3952091143776973,2.442029499066568,0.7946305596222666,0.052472538158070355,611.5045129994234,0.6926333197392524,2.6972671003717017,0.9656962360683645
16,Temp_15_2,16,0.0320015266205546,270.64596986132955,0.5329405254684388,2.0044648215643717,0.767759042581414,0.027647046507800494,322.19317578455536,0.7766650515298048,2.3781004435218986,0.993343282576165
17,Collapse,17,0.005338798039572739,45.151726367511884,0.2060550371184945,0.9503345287738486,0.9999999999999999,0.0,0.0,0.0,0.0,1.0
18,Polygon,18,0.01659019829538099,140.30800346134703,0.18576008887030185,1.9467896328156504,0.9199386948009752,0.0,0.0,0.0,0.0,1.0
19,Rim,19,0.019209480333303684,162.46001314199214,0.3317415413136284,2.0655775092073094,0.8866507689344606,0.0,0.0,0.0,0.0,1.0
20,Daytime,20,0.06115335232142423,517.1912123302515,0.14476031453038254,4.285595436098748,0.5611714014436933,0.06074513107454175,707.9116638673728,0.021816603218515696,5.220629711801453,0.9132236979102941
