,Factors,Key,RC_Sum: 21_43,RC: 21_43,RG: 21_43,SE: 21_43,CS: 21_43,RC_Sum: 9_43,RC: 9_43,RG: 9_43,SE: 9_43,CS: 9_43
0,AirTC_Avg,0,0.021640241444918804,78.84540458726691,0.3766259226948023,1.735730041174546,0.8761647375986098,0.0,0.0,0.0,0.0,1.0
1,VPD,1,0.030109430580803644,109.70257619713898,0.36702923867851495,1.7392890379081678,0.7347497829223328,0.020605023383741147,77.94972328848012,0.4045981204758088,1.1962212561302459,1.0
2,u*,2,0.19837887675003077,722.7859651536536,0.28565395772457125,3.176461187171752,0.19837887675003077,0.13676174741846128,517.37579565816,0.32157397344708444,2.464442920837613,0.6215699495058643
3,wind_speed,3,0.18898324013866546,688.5533170631223,0.2839603687326113,3.3486137793183994,0.38736211688869626,0.1622832241856838,613.9246815714923,0.5236459583044052,3.1686922287552695,0.48480820208740305
4,air_pressure,4,0.021576056076098384,78.61154761362315,0.39726927522569894,1.2522209199016479,0.8977407936747082,0.0,0.0,0.0,0.0,1.0
5,NR_Wm2_Avg,5,0.1236382008926641,450.471127904759,0.46033200193196533,3.2772875514220177,0.5110003177813603,0.32252497790171925,1220.1263892231268,1.3556159873803457,3.304048370194815,0.32252497790171925
6,PPFD_Avg,6,0.018653165758372687,67.96210683673202,0.09992753975093364,1.2634221266744867,0.9376254239613151,0.0,0.0,0.0,0.0,1.0
7,Table_1,7,0.05066445094394621,184.59401864969183,0.17880686583618322,1.686534841459689,0.6407221566325962,0.051919600842429914,196.41416772713882,0.35866664275527,1.7412863984130098,0.9385018894687702
8,VWC_2,8,0.023115357798931705,84.21993546029236,0.12945747543126343,1.6297859595045272,0.8326258652374222,0.0,0.0,0.0,0.0,1.0
9,VWC_1,9,0.021898630916268754,79.78683689344204,0.205060558533296,1.550642496161464,0.854524496153691,0.0,0.0,0.0,0.0,1.0
10,Active_Layer_1,10,0.07905738790728972,288.0426150063294,0.27120855028430624,2.6188656235131433,0.59005770568865,0.10981172739340359,415.42266682891113,0.67924264112177,1.9428640880700236,0.7313816768992679
11,Temp_2_5_1,11,0.021231464528234247,77.35604128861955,0.23861716479683914,1.7248247858543788,0.9189722582029424,0.0,0.0,0.0,0.0,1.0
12,Temp_5_1,12,0.0161434711884038,58.81812920305705,0.21499137158195178,1.4014317672441343,0.970514945544442,0.0,0.0,0.0,0.0,1.0
13,Temp_15_1,13,0.033521846120057486,122.13558367984986,0.24290238826846083,1.6520060188127632,0.6742440027526537,0.06831728218243237,258.44732824441604,0.6039326447993517,2.0571973269006967,0.8865822886263404
14,Temp_2_5_2,14,0.014098758331473237,51.368294926493064,0.09658467673386137,1.0640517401137821,0.9999999999999999,0.0,0.0,0.0,0.0,1.0
15,Temp_5_2,15,0.024656354691733037,89.83449959488851,0.2585428430388371,1.5328188562079974,0.7861139909068133,0.0,0.0,0.0,0.0,1.0
16,Temp_15_2,16,0.026707853292747465,97.30905747442522,0.3801127443090081,1.6841098232471798,0.7614576362150803,0.08688332954464008,328.68351422161163,0.8783559033026298,2.5969065334518775,0.818265006443908
17,Collapse,17,0.023396516531677174,85.24432671271829,0.32788241636008025,1.4035616316952875,0.8095105074384905,0.0,0.0,0.0,0.0,1.0
18,Polygon,18,0.01674605039472311,61.01360384408864,0.19006659276783466,1.2353692815947104,0.9543714743560382,0.0,0.0,0.0,0.0,1.0
19,Rim,19,0.015386296124084757,56.05939037652503,0.13430828995381794,1.288940788521189,0.9859012416685267,0.0,0.0,0.0,0.0,1.0
20,Daytime,20,0.030396349588875438,110.74795479574558,0.10356415814409653,2.4286221914121824,0.7046403523415292,0.04089308714748867,154.70037418514627,0.03248211477572718,2.4916376698491804,0.9793949766162588
