,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.01885840801456661,1,0,0.006902263710708291,0,2.910180921045445,2.910180921045445
1,(z-d)/L,0.019399998904136646,1,1,0.007310157953173222,0,3.132785503787508,3.132785503787508
2,PPFD_Avg,0.020448058772086386,1,2,0.005808435274593631,0,4.317313404846743,4.317313404846743
3,AirTC_Avg,0.015086147097805345,1,3,0.006075899295702698,1,0.5913049586232785,0.5913049586232785
4,VPD,0.014210418234872908,1,4,0.005374496475123214,1,0.0,0.0
5,Temp,0.016856694880765934,1,5,0.007775464798355144,1,1.5334352672211384,1.5334352672211384
6,VWC,0.019831615987487745,1,6,0.006551410632013889,0,3.6333609010115038,3.6333609010115038
7,Sedge,0.01565697474831012,1,7,0.0056711623046851916,1,1.0140580630714486,1.0140580630714486
8,Shrub,0.016736629160601535,1,8,0.006330218112266652,1,1.6662549577453527,1.6662549577453527
9,Grass,0.02116644190631979,1,9,0.007337649101681234,0,4.188898726616505,4.188898726616505
10,Upland,0.01830283015513477,1,10,0.006264537749894502,0,2.7156381648979933,2.7156381648979933
11,wind_speed+AirTC_Avg,0.014428552894543645,2,0,0.007795260154522381,1,0.9813254021904028,0.12618479445293992
12,wind_speed+VPD,0.013621832552701274,2,1,0.007717420113696236,1,0.5223616145606073,-0.3427967211074048
13,wind_speed+Temp,0.016356164343512693,2,2,0.010793187589681482,1,1.6440289572519482,0.9747414864082958
14,wind_speed+Sedge,0.014046922342212014,2,3,0.007839836956077097,1,0.7596724850805401,-0.09421229594097957
15,wind_speed+Shrub,0.01695375650151824,2,4,0.00704214359674047,0,2.592660278126779,1.696167727963907
16,(z-d)/L+AirTC_Avg,0.015491111367609764,2,5,0.007920205497458161,1,1.573575798756181,0.7328628872953341
17,(z-d)/L+VPD,0.014697430738385068,2,6,0.006054789681327443,1,1.3235387992712844,0.32947970423039363
18,(z-d)/L+Temp,0.0178312193161292,2,7,0.00830542867624183,0,2.808205011071547,2.004706504116672
19,(z-d)/L+Sedge,0.015079060688082457,2,8,0.005921864886701345,1,1.5975727968228806,0.5949340884317548
20,(z-d)/L+Shrub,0.017069234625937114,2,9,0.006394784549737194,0,2.8208313400118254,1.8745029696888826
21,PPFD_Avg+AirTC_Avg,0.014823528845766158,2,10,0.006730846293506193,1,1.3251411910292843,0.3898775474079593
22,PPFD_Avg+VPD,0.01358276496835488,2,11,0.006086598309166159,1,0.5770905682635219,-0.4233822568859585
23,PPFD_Avg+Temp,0.016008079806659803,2,12,0.004855308481652815,0,2.4508465445156244,1.359432331494798
24,PPFD_Avg+Sedge,0.015728284479367974,2,13,0.007529622887310276,0,1.7661831870523368,0.898683752447753
25,PPFD_Avg+Shrub,0.016832106149394222,2,14,0.006316166948136081,0,2.6860094825226457,1.7314626638089101
26,AirTC_Avg+VPD,0.013796468368956873,2,15,0.007467243722868713,1,0.6367032817204183,-0.24643811024999168
27,AirTC_Avg+Temp,0.014557275535645805,2,16,0.008240227136212138,1,1.0161522772679983,0.19310963817104695
28,AirTC_Avg+VWC,0.014328574428305403,2,17,0.005711902950226524,1,1.1109468376382525,0.08251645395582169
29,AirTC_Avg+Sedge,0.014132476047113107,2,18,0.006479179248201717,1,0.9106906981649355,-0.050712777448407804
30,AirTC_Avg+Shrub,0.01432169535835384,2,19,0.006334755581338705,1,1.0458283419848315,0.07336633869718838
31,AirTC_Avg+Grass,0.013631305121143184,2,20,0.006335053333205062,1,0.5959749577749073,-0.3818057687140257
32,AirTC_Avg+Upland,0.014620172918296979,2,21,0.0052567872449191455,1,1.3670477550448545,0.2985294802326343
33,VPD+Temp,0.014217480912718322,2,22,0.007365381558639202,1,0.892788676508233,0.004242682518782681
34,VPD+VWC,0.013396067763546375,2,23,0.010685311807559822,1,0.3093680433403544,-0.37291615543298906
35,VPD+Sedge,0.013620362380742879,2,24,0.006321682038806418,1,0.589551545939014,-0.38949808169374767
36,VPD+Shrub,0.012716605263813208,2,25,0.0055258522383089224,1,0.0,-1.0614256948231995
37,VPD+Grass,0.013959149805210588,2,26,0.006543526053909062,1,0.7946288261201666,-0.1625286973124533
38,VPD+Upland,0.013860181697872679,2,27,0.004776179102244699,1,0.8575730205477156,-0.2668019442889047
39,Temp+VWC,0.015844885692868287,2,28,0.008545692869920156,1,1.6836898220841587,0.8867880122138777
40,Temp+Sedge,0.01383426529994565,2,29,0.007869873193228998,1,0.636604999792266,-0.21618923010776514
41,Temp+Shrub,0.015228491393697604,2,30,0.007424584487374897,1,1.486527039593754,0.608380076094719
42,Temp+Grass,0.01634099263217564,2,31,0.006285666717326171,0,2.3719621451058117,1.4110608117783339
43,Temp+Upland,0.017191436128983627,2,32,0.007768986595127444,0,2.570833526453545,1.7283817608704413
44,VWC+Sedge,0.015551133204853866,2,33,0.006786584166036636,0,1.773974972371295,0.8482653581343804
45,VWC+Shrub,0.015266011258917295,2,34,0.008000355010621666,1,1.4361181465120412,0.5998885472180757
46,Sedge+Shrub,0.013778930618213798,2,35,0.006381927602114001,1,0.6892597939729808,-0.28325657989461295
47,Sedge+Grass,0.013778694176172487,2,36,0.007429189953759716,1,0.6282903562887651,-0.25788465257636967
48,Sedge+Upland,0.015405200948680836,2,37,0.00580054533301757,0,1.838152909547468,0.8275609716665171
49,Shrub+Grass,0.01476742665754613,2,38,0.005081597514657049,1,1.4962767498486076,0.4124749543454396
50,Shrub+Upland,0.015733434096543163,2,39,0.006372557813670856,0,1.9590274512530925,1.000666116656616
